esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,ribba,orb,none,0,0,,homography,0.25,15,1.15,30,20,0.0,,,,3.0,42,5000,4971,2538,1991,0.784476,0.3199026469450509,0.08140018822310903,0.5552234930407649,True,True,,,132.4,1.4
E1,ribba,orb,none,0,0,,homography,0.5,15,1.15,30,20,0.0,,,,3.0,42,5000,4895,2354,1380,0.586236,1.2024097636894813,0.30595677160007956,3.498729645923995,True,False,,,130.2,2.0
E1,ribba,orb,none,0,0,,homography,0.75,15,1.15,30,20,0.0,,,,3.0,42,5000,4514,1979,1277,0.645275,0.32938624670529887,0.08381331863290341,0.6607100115545778,True,True,,,129.1,1.5
E1,ribba,orb,none,0,0,,homography,1.0,15,1.15,30,20,0.0,,,,3.0,42,5000,3737,1322,613,0.463691,0.37144261217280594,0.09451468699520699,0.7196540180898582,True,True,,,109.8,3.5
E1,ribba,orb,none,0,0,,homography,1.1,15,1.15,30,20,0.0,,,,3.0,42,5000,3495,1067,353,0.330834,0.8444165488997666,0.2148643241171923,2.3212918323303944,True,True,,,103.8,11.0
E1,ribba,orb,none,0,0,,homography,1.2,15,1.15,30,20,0.0,,,,3.0,42,5000,3310,840,218,0.259524,0.6341108644449212,0.1613514117906035,1.5598829961786935,True,True,,,100.8,37.9
E1,ribba,orb,none,0,0,,homography,1.3,15,1.15,30,20,0.0,,,,3.0,42,5000,3226,700,101,0.144286,2.0715229138768603,0.5271052200047087,7.307239051997637,True,False,,,102.2,119.1
E1,ribba,orb,none,0,0,,homography,1.4,15,1.15,30,20,0.0,,,,3.0,42,5000,3234,627,30,0.047847,2.21269644504118,0.5630272485300634,5.272213013350037,True,False,,,118.8,117.8
E1,ribba,orb,none,0,0,,homography,1.5,15,1.15,30,20,0.0,,,,3.0,42,5000,3320,601,7,0.011647,1748.434470994384,444.89439644793396,15575.903069002998,True,False,,,108.7,117.6
E1,ribba,orb,none,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,5000,5000,1.0,6.963793697818883e-13,1.771958197791108e-13,1.570186912605001e-12,True,True,,,139.4,1.3
E1,ribba,orb,none,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3660,3019,0.824863,0.3097445487178484,0.07881542965490268,0.9743863738369176,True,True,,,135.4,1.9
E1,ribba,orb,none,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3346,2933,0.876569,0.20199276816957448,0.05139766583905273,0.5093372117255365,True,True,,,137.3,1.6
E1,ribba,orb,none,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3142,2615,0.832272,0.3711889153656861,0.09445013308154492,0.8149366507730602,True,True,,,137.3,1.5
E1,ribba,orb,none,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3113,2665,0.856087,0.16922211796293435,0.04305907558202253,0.3243748480852205,True,True,,,138.4,1.7
E1,ribba,orb,none,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,4194,3493,0.832856,0.4776143132438475,0.12153039484783672,0.5733783540016252,True,True,,,139.6,1.9
